"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","27422","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-29 09:46:11",831,0.1582041,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:11.2",832,0.1582041,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:11.4",833,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:11.6",834,0.1582041,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:11.8",835,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:12",836,-0.1458974,1,0.012,21.34,11.98,41.48
"2023-06-29 09:46:12.2",837,0.1582041,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:12.4",838,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:12.6",839,-0.1458974,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:12.8",840,0.1582041,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:13",841,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:13.2",842,-0.1458974,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:13.4",843,0.1582041,1,0.01,21.34,11.99,41.48
"2023-06-29 09:46:13.6",844,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:13.8",845,-0.1458974,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:14",846,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:14.2",847,0.4623077,1,0.012,21.34,11.98,41.48
"2023-06-29 09:46:14.4",848,0.1582041,1,0.011,21.34,11.98,41.51
"2023-06-29 09:46:14.6",849,0.4623055,1,0.01,21.34,11.99,41.51
"2023-06-29 09:46:14.8",850,-0.1458974,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:15",851,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:15.2",852,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:15.4",853,-0.1458974,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:15.6",854,-0.45,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:15.8",855,-0.1458974,1,0.012,21.34,11.98,41.48
"2023-06-29 09:46:16",856,-0.45,1,0.011,21.34,11.98,41.48
"2023-06-29 09:46:16.2",857,0.1582041,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:16.4",858,-0.1458974,1,0.011,21.34,11.99,41.51
"2023-06-29 09:46:16.6",859,0.1582041,1,0.011,21.34,11.98,41.51
"2023-06-29 09:46:16.8",860,-0.1458985,1,0.01,21.34,11.98,41.48
"2023-06-29 09:46:17",861,-0.1458974,1,0.011,21.34,11.99,41.51
"2023-06-29 09:46:17.2",862,0.1582041,1,0.01,21.34,11.98,41.51
"2023-06-29 09:46:17.4",863,-0.1458974,1,0.012,21.34,11.98,41.51
"2023-06-29 09:46:17.6",864,0.1582041,1,0.011,21.34,11.98,41.51
"2023-06-29 09:46:17.8",865,0.1582041,1,0.01,21.34,11.98,41.51
"2023-06-29 09:46:18",866,-0.1458974,1,0.011,21.34,11.98,41.51
"2023-06-29 09:46:18.2",867,0.1582041,1,0.011,21.34,11.98,41.51
