"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","8341","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-20 10:44:51",1283,-0.3371122,1,0.01,21.26,11.98,40.53
"2023-06-20 10:44:51.2",1284,0.2711091,1,0.011,21.26,11.98,40.53
"2023-06-20 10:44:51.4",1285,-0.3371122,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:51.6",1286,-0.3371122,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:51.8",1287,-0.03300095,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:52",1288,-0.3371122,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:52.2",1289,-0.0329988,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:52.4",1290,-0.641221,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:52.6",1291,-0.33711,1,0.01,21.26,11.98,40.53
"2023-06-20 10:44:52.8",1292,-0.33711,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:53",1293,0.2711112,1,0.011,21.26,11.98,40.53
"2023-06-20 10:44:53.2",1294,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:53.4",1295,-0.0329988,1,0.01,21.26,11.98,40.53
"2023-06-20 10:44:53.6",1296,-0.337111,1,0.011,21.29,11.99,40.53
"2023-06-20 10:44:53.8",1297,0.2711122,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:54",1298,-0.33711,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:54.2",1299,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:54.4",1300,-0.0329988,1,0.01,21.26,11.99,40.53
"2023-06-20 10:44:54.6",1301,-0.0329988,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:54.8",1302,0.5752234,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:55",1303,-0.33711,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:55.2",1304,-0.0329988,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:55.4",1305,0.5752234,1,0.011,21.29,11.99,40.53
"2023-06-20 10:44:55.6",1306,0.2711122,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:55.8",1307,-0.0329988,1,0.01,21.29,11.99,40.53
"2023-06-20 10:44:56",1308,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:56.2",1309,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:56.4",1310,-0.0329988,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:56.6",1311,-0.641221,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:56.8",1312,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:57",1313,-0.0329988,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:57.2",1314,-0.0329988,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:57.4",1315,0.2711122,1,0.011,21.29,11.98,40.53
"2023-06-20 10:44:57.6",1316,-0.33711,1,0.01,21.29,11.98,40.53
"2023-06-20 10:44:57.8",1317,-0.337111,1,0.011,21.29,11.98,40.53
