"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","8341","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-20 10:40:35.6",0,-0.03303099,4,0.011,20.85,11.99,41.17
"2023-06-20 10:40:36",1,-0.03303003,8,0.01,20.85,11.99,41.17
"2023-06-20 10:40:36.2",2,-0.3371367,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:36.4",3,-0.03303003,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:36.6",4,-0.03303003,1,0.009,20.85,11.99,41.17
"2023-06-20 10:40:36.8",5,0.2710791,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:37",6,-0.03303003,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:37.2",7,-0.03302884,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:37.4",8,-0.03303003,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:37.6",9,0.2710791,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:37.8",10,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:38",11,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:38.2",12,-0.03302884,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:38.4",13,-0.03303003,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:38.6",14,0.2710791,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:38.8",15,0.2710779,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:39",16,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:39.2",17,-0.03302884,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:39.4",18,-0.03303003,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:39.6",19,-0.3371367,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:39.8",20,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:40",21,-0.03303003,1,0.009,20.85,11.99,41.17
"2023-06-20 10:40:40.2",22,0.2710791,1,0.01,20.85,11.99,41.14
"2023-06-20 10:40:40.4",23,-0.3371379,1,0.01,20.85,11.99,41.14
"2023-06-20 10:40:40.6",24,0.2710791,1,0.011,20.85,11.99,41.17
"2023-06-20 10:40:40.8",25,-0.03303003,1,0.01,20.85,11.99,41.14
"2023-06-20 10:40:41",26,-0.03303003,1,0.009,20.85,11.99,41.17
"2023-06-20 10:40:41.2",27,-0.03302884,1,0.011,20.85,11.99,41.14
"2023-06-20 10:40:41.4",28,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:41.6",29,-0.03302884,1,0.011,20.85,11.99,41.14
"2023-06-20 10:40:41.8",30,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:42",31,-0.3371379,1,0.01,20.85,11.99,41.14
"2023-06-20 10:40:42.2",32,0.2710791,1,0.011,20.85,11.99,41.14
"2023-06-20 10:40:42.4",33,-0.3371379,1,0.01,20.85,11.99,41.17
"2023-06-20 10:40:42.6",34,-0.3371367,1,0.011,20.85,11.99,41.14
"2023-06-20 10:40:42.8",35,-0.3371379,1,0.01,20.85,11.99,41.14
