"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","32014","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-21 12:24:57",0,-0.317687,4,0.011,21.72,11.98,40.6
"2023-06-21 12:24:57.4",1,-0.01357698,8,0.01,21.72,11.98,40.6
"2023-06-21 12:24:57.6",2,-0.01357698,1,0.01,21.72,11.98,40.6
"2023-06-21 12:24:57.8",3,0.2905288,1,0.011,21.72,11.98,40.6
"2023-06-21 12:24:58",4,-0.01357698,1,0.01,21.72,11.98,40.57
"2023-06-21 12:24:58.2",5,0.2905288,1,0.011,21.72,11.98,40.6
"2023-06-21 12:24:58.4",6,-0.01357698,1,0.011,21.72,11.98,40.6
"2023-06-21 12:24:58.6",7,-0.01357698,1,0.01,21.72,11.98,40.6
"2023-06-21 12:24:58.8",8,0.2905288,1,0.011,21.72,11.98,40.6
"2023-06-21 12:24:59",9,-0.01357698,1,0.01,21.72,11.98,40.57
"2023-06-21 12:24:59.2",10,-0.01357698,1,0.01,21.72,11.98,40.6
"2023-06-21 12:24:59.4",11,0.2905288,1,0.011,21.72,11.98,40.57
"2023-06-21 12:24:59.6",12,-0.01357698,1,0.01,21.75,11.99,40.6
"2023-06-21 12:24:59.8",13,-0.3176827,1,0.01,21.72,11.98,40.6
"2023-06-21 12:25:00",14,-0.01357698,1,0.011,21.72,11.98,40.57
"2023-06-21 12:25:00.2",15,-0.01357698,1,0.01,21.75,11.98,40.6
"2023-06-21 12:25:00.4",16,0.2905288,1,0.011,21.72,11.98,40.57
"2023-06-21 12:25:00.6",17,-0.01357698,1,0.011,21.72,11.98,40.57
"2023-06-21 12:25:00.8",18,-0.3176827,1,0.01,21.72,11.98,40.57
"2023-06-21 12:25:01",19,0.2905288,1,0.011,21.75,11.98,40.6
"2023-06-21 12:25:01.2",20,0.2905288,1,0.011,21.72,11.98,40.57
"2023-06-21 12:25:01.4",21,-0.3176827,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:01.6",22,-0.01357698,1,0.01,21.72,11.98,40.57
"2023-06-21 12:25:01.8",23,-0.01357698,1,0.011,21.75,11.98,40.57
"2023-06-21 12:25:02",24,-0.6217885,1,0.01,21.72,11.98,40.6
"2023-06-21 12:25:02.2",25,-0.3176827,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:02.4",26,-0.3176827,1,0.011,21.72,11.98,40.57
"2023-06-21 12:25:02.6",27,0.2905288,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:02.8",28,-0.01357698,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:03",29,-0.01357698,1,0.011,21.75,11.98,40.57
"2023-06-21 12:25:03.2",30,-0.3176827,1,0.011,21.75,11.98,40.57
"2023-06-21 12:25:03.4",31,-0.3176827,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:03.6",32,-0.01357698,1,0.012,21.75,11.98,40.57
"2023-06-21 12:25:03.8",33,0.2905288,1,0.011,21.75,11.98,40.57
"2023-06-21 12:25:04",34,-0.01357698,1,0.01,21.75,11.98,40.57
"2023-06-21 12:25:04.2",35,0.2905288,1,0.01,21.72,11.98,40.57
