"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","37996","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-15 10:13:22.8",73,0.003264189,1,0.012,24.72,11.96,30.84
"2022-11-15 10:13:23",74,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:23.2",75,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:23.4",76,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:23.6",77,-0.300817,1,0.012,24.72,11.96,30.84
"2022-11-15 10:13:23.8",78,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:24",79,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:24.2",80,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:24.4",81,0.003264189,1,0.011,24.72,11.95,30.81
"2022-11-15 10:13:24.6",82,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:24.8",83,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:25",84,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:25.2",85,-0.300817,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:25.4",86,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:25.6",87,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:25.8",88,0.003264189,1,0.012,24.72,11.96,30.84
"2022-11-15 10:13:26",89,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:26.2",90,-0.6048992,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:26.4",91,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:26.6",92,-0.300817,1,0.012,24.72,11.96,30.81
"2022-11-15 10:13:26.8",93,-0.6048992,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:27",94,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:27.2",95,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:27.4",96,0.003264189,1,0.012,24.72,11.96,30.84
"2022-11-15 10:13:27.6",97,-0.300817,1,0.011,24.72,11.95,30.84
"2022-11-15 10:13:27.8",98,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:28",99,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:28.2",100,0.003264189,1,0.011,24.72,11.95,30.81
"2022-11-15 10:13:28.4",101,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:28.6",102,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:28.8",103,0.003264189,1,0.012,24.72,11.96,30.81
"2022-11-15 10:13:29",104,-0.6048992,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:29.2",105,0.003264189,1,0.011,24.72,11.95,30.84
"2022-11-15 10:13:29.4",106,0.003264189,1,0.01,24.72,11.95,30.84
"2022-11-15 10:13:29.6",107,-0.300817,1,0.012,24.72,11.96,30.84
"2022-11-15 10:13:29.8",108,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:30",109,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:30.2",110,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:30.4",111,0.003264189,1,0.012,24.72,11.96,30.81
"2022-11-15 10:13:30.6",112,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:30.8",113,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:31",114,-0.6048992,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:31.2",115,-0.300817,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:31.4",116,-0.300817,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:31.6",117,-0.300817,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:31.8",118,0.003264189,1,0.012,24.72,11.95,30.81
"2022-11-15 10:13:32",119,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:32.2",120,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:32.4",121,-0.300817,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:32.6",122,0.3073463,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:32.8",123,0.003264189,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:33",124,0.003264189,1,0.01,24.72,11.96,30.84
"2022-11-15 10:13:33.2",125,-0.3008158,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:33.4",126,-0.6048992,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:33.6",127,0.003264189,1,0.011,24.72,11.96,30.81
"2022-11-15 10:13:33.8",128,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:34",129,0.003264189,1,0.012,24.72,11.96,30.81
"2022-11-15 10:13:34.2",130,-0.6048992,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:34.4",131,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:34.6",132,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:34.8",133,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:35",134,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:35.2",135,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:35.4",136,-0.6048992,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:35.6",137,-0.300817,1,0.012,24.75,11.96,30.84
"2022-11-15 10:13:35.8",138,-0.6048992,1,0.011,24.75,11.95,30.81
"2022-11-15 10:13:36",139,-0.6048992,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:36.2",140,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:36.4",141,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:36.6",142,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:36.8",143,-0.6048992,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:37",144,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:37.2",145,-0.300817,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:37.4",146,0.003264189,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:37.6",147,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:37.8",148,0.003264189,1,0.01,24.75,11.95,30.81
"2022-11-15 10:13:38",149,0.3073463,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:38.2",150,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:38.4",151,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:38.6",152,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:38.8",153,0.003264189,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:39",154,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:39.2",155,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:39.4",156,-0.6048992,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:39.6",157,-0.3008158,1,0.011,24.75,11.95,30.81
"2022-11-15 10:13:39.8",158,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:40",159,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:40.2",160,-0.3008158,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:40.4",161,-0.300817,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:40.6",162,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:40.8",163,-0.3008158,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:41",164,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:41.2",165,0.003264189,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:41.4",166,0.003264189,1,0.01,24.75,11.95,30.81
"2022-11-15 10:13:41.6",167,0.003264189,1,0.012,24.75,11.96,30.84
"2022-11-15 10:13:41.8",168,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:42",169,-0.6048992,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:42.2",170,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:42.4",171,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:42.6",172,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:42.8",173,0.003264189,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:43",174,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:43.2",175,0.003264189,1,0.012,24.75,11.96,30.84
"2022-11-15 10:13:43.4",176,0.003264189,1,0.011,24.75,11.95,30.81
"2022-11-15 10:13:43.6",177,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:43.8",178,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:44",179,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:44.2",180,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:44.4",181,0.003264189,1,0.011,24.75,11.95,30.81
"2022-11-15 10:13:44.6",182,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:44.8",183,-0.3008158,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:45",184,0.003264189,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:45.2",185,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:45.4",186,-0.300817,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:45.6",187,-0.3008158,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:45.8",188,0.003264189,1,0.01,24.75,11.95,30.81
"2022-11-15 10:13:46",189,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:46.2",190,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:46.4",191,-0.6048992,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:46.6",192,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:46.8",193,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:47",194,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:47.2",195,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:47.4",196,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:47.6",197,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:47.8",198,0.003264189,1,0.012,24.75,11.95,30.81
"2022-11-15 10:13:48",199,-0.6048992,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:48.2",200,0.003264189,1,0.01,24.75,11.95,30.81
"2022-11-15 10:13:48.4",201,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:48.6",202,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:48.8",203,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:49",204,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:49.2",205,-0.6048992,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:49.4",206,-0.3008158,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:49.6",207,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:49.8",208,0.003264189,1,0.01,24.75,11.96,30.84
"2022-11-15 10:13:50",209,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:50.2",210,-0.3008158,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:50.4",211,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:50.6",212,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:50.8",213,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:51",214,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:51.2",215,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:51.4",216,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:51.6",217,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:51.8",218,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:52",219,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:52.2",220,0.003264189,1,0.01,24.75,11.96,30.81
"2022-11-15 10:13:52.4",221,0.003264189,1,0.012,24.75,11.96,30.81
"2022-11-15 10:13:52.6",222,-0.6048992,1,0.011,24.75,11.96,30.84
"2022-11-15 10:13:52.8",223,0.003264189,1,0.011,24.75,11.96,30.81
"2022-11-15 10:13:53",224,-0.6048992,1,0.01,24.75,11.96,30.81
