"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","30083","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-25 10:24:26.4",72,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:26.6",73,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:26.8",74,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:27",75,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:27.2",76,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:27.4",77,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:27.6",78,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:27.8",79,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:28",80,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:28.2",81,-0.1521932,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:28.4",82,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:28.6",83,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:28.8",84,-0.1521932,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:29",85,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:29.2",86,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:29.4",87,-0.1521932,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:29.6",88,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:29.8",89,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:30",90,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:30.2",91,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:30.4",92,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:30.6",93,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:30.8",94,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:31",95,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:31.2",96,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:31.4",97,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:31.6",98,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:31.8",99,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:32",100,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:32.2",101,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:32.4",102,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:32.6",103,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:32.8",104,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:33",105,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:33.2",106,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:33.4",107,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:33.6",108,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:33.8",109,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:34",110,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:34.2",111,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:34.4",112,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:34.6",113,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:34.8",114,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:35",115,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:35.2",116,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:35.4",117,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:35.6",118,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:35.8",119,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:36",120,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:36.2",121,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:36.4",122,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:36.6",123,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:36.8",124,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:37",125,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:37.2",126,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:37.4",127,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:37.6",128,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:37.8",129,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:38",130,-0.1521932,1,0.011,21.45,11.98,39.39
"2023-05-25 10:24:38.2",131,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:38.4",132,-0.1521932,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:38.6",133,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:38.8",134,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:39",135,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:39.2",136,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:39.4",137,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:39.6",138,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:39.8",139,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:40",140,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:40.2",141,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:40.4",142,-0.4562572,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:40.6",143,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:40.8",144,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:41",145,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:41.2",146,-0.1521932,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:41.4",147,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:41.6",148,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:41.8",149,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:42",150,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:42.2",151,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:42.4",152,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:42.6",153,0.1518719,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:42.8",154,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:43",155,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:43.2",156,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:43.4",157,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:43.6",158,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:43.8",159,-0.4562572,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:44",160,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:44.2",161,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:44.4",162,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:44.6",163,0.4559349,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:44.8",164,0.1518719,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:45",165,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:45.2",166,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:45.4",167,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:45.6",168,-0.4562572,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:45.8",169,-0.1521932,1,0.011,21.48,11.99,39.39
