17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.493,-0.069,0.240
-0.233,-0.031,-0.142
-0.198,-0.030,-0.191
-0.192,-0.034,-0.087
-0.152,-0.026,0.619
0.120,0.019,0.973
0.421,0.065,1.086
0.656,0.096,1.390
0.912,0.130,0.349
0.714,0.088,0.140
0.511,0.051,-0.295
0.229,0.010,0.137
0.197,0.011,0.259
0.219,0.019,0.168
0.201,0.015,-0.549
-0.061,-0.028,-0.911
-0.358,-0.074,-1.022
-0.590,-0.105,-1.345
-0.851,-0.139,-0.307
-0.658,-0.098,-0.152
-0.476,-0.066,0.226
-0.228,-0.031,-0.185
-0.210,-0.033,-0.247
-0.220,-0.038,-0.162
-0.196,-0.033,0.566
0.073,0.012,0.924
0.373,0.058,1.047
0.612,0.090,1.393
0.884,0.126,0.338
0.693,0.085,0.124
0.492,0.049,-0.305
0.213,0.008,0.141
0.187,0.010,0.298
0.227,0.021,0.207
0.219,0.018,-0.534
-0.044,-0.026,-0.898
-0.342,-0.072,-1.058
-0.593,-0.106,-1.401
-0.871,-0.143,-0.380
-0.697,-0.105,-0.234
-0.530,-0.075,0.186
-0.277,-0.038,-0.208
-0.249,-0.038,-0.284
-0.258,-0.044,-0.196
-0.233,-0.038,0.546
0.042,0.007,0.914
0.349,0.055,1.059
0.601,0.089,1.380
0.872,0.125,0.332
0.684,0.084,0.105
0.479,0.047,-0.335
0.194,0.005,0.095
0.158,0.005,0.229
0.184,0.014,0.153
0.173,0.011,-0.566
-0.085,-0.032,-0.917
-0.375,-0.076,-1.047
-0.610,-0.108,-1.348
-0.864,-0.140,-0.261
-0.651,-0.097,-0.090
-0.450,-0.062,0.280
-0.192,-0.025,-0.121
-0.163,-0.026,-0.200
-0.173,-0.032,-0.157
-0.166,-0.029,0.530
0.079,0.011,0.865
0.356,0.054,0.960
0.571,0.083,1.251
0.808,0.114,0.158
0.581,0.067,-0.017
0.369,0.030,-0.433
0.089,-0.010,-0.018
0.052,-0.010,0.136
0.081,-0.000,0.102
0.089,-0.000,-0.566
-0.139,-0.038,-0.865
-0.392,-0.077,-1.028
-0.614,-0.108,-1.338
-0.863,-0.140,-0.313
-0.668,-0.100,-0.192
-0.497,-0.069,0.192
-0.253,-0.034,-0.205
-0.232,-0.036,-0.262
-0.240,-0.041,-0.187
-0.219,-0.036,0.565
0.058,0.010,0.941
0.369,0.058,1.078
0.620,0.091,1.395
0.890,0.127,0.342
0.698,0.086,0.163
0.509,0.052,-0.281
0.232,0.011,0.148
0.202,0.012,0.267
0.224,0.020,0.166
0.203,0.015,-0.584
-0.072,-0.031,-0.913
-0.366,-0.076,-1.056
-0.607,-0.108,-1.379
-0.874,-0.142,-0.343
-0.685,-0.103,-0.180
-0.503,-0.070,0.231
-0.243,-0.032,-0.157
-0.209,-0.032,-0.224
-0.211,-0.037,-0.157
-0.189,-0.032,0.575
0.081,0.013,0.937
0.383,0.059,1.083
0.630,0.093,1.416
0.904,0.129,0.356
0.713,0.088,0.137
0.510,0.051,-0.296
0.227,0.010,0.133
0.194,0.010,0.235
0.208,0.017,0.147
0.186,0.012,-0.600
-0.088,-0.033,-0.960
-0.393,-0.080,-1.060
-0.626,-0.110,-1.351
-0.875,-0.142,-0.290
-0.668,-0.099,-0.161
-0.486,-0.068,0.236
-0.231,-0.030,-0.178
-0.208,-0.032,-0.231
-0.213,-0.037,-0.128
-0.180,-0.030,0.646
0.112,0.018,0.983
0.419,0.065,1.109
0.663,0.097,1.379
0.912,0.130,0.301
0.698,0.085,0.130
0.497,0.049,-0.292
0.221,0.009,0.131
0.189,0.010,0.231
0.203,0.017,0.150
0.184,0.012,-0.596
-0.089,-0.033,-0.920
-0.379,-0.077,-1.089
-0.627,-0.110,-1.406
-0.896,-0.146,-0.347
-0.702,-0.105,-0.156
-0.507,-0.070,0.255
-0.237,-0.031,-0.152
-0.204,-0.031,-0.257
-0.220,-0.039,-0.192
-0.206,-0.035,0.532
0.054,0.008,0.885
0.347,0.054,1.034
0.590,0.087,1.322
0.845,0.120,0.278
0.646,0.078,0.117
0.459,0.044,-0.322
0.186,0.004,0.130
0.166,0.007,0.246
0.194,0.016,0.152
0.179,0.012,-0.591
-0.090,-0.033,-0.912
-0.377,-0.077,-1.075
-0.621,-0.110,-1.385
-0.885,-0.144,-0.332
-0.689,-0.103,-0.182
-0.507,-0.071,0.226
-0.248,-0.033,-0.166
-0.215,-0.033,-0.228
-0.217,-0.038,-0.154
-0.191,-0.032,0.594
0.086,0.014,0.921
0.381,0.059,1.055
0.619,0.091,1.341
0.871,0.124,0.269
0.660,0.079,0.049
0.444,0.041,-0.382
0.155,-0.001,0.043
0.115,-0.001,0.171
0.135,0.007,0.127
0.132,0.005,-0.613
-0.128,-0.038,-0.921
-0.404,-0.080,-1.043
-0.627,-0.110,-1.308
-0.861,-0.139,-0.186
-0.623,-0.092,-0.058
-0.420,-0.057,0.302
-0.164,-0.021,-0.130
-0.148,-0.024,-0.182
-0.157,-0.029,-0.123
-0.142,-0.026,0.572
0.110,0.016,0.862
0.375,0.057,0.946
0.576,0.083,1.212
0.798,0.112,0.125
0.562,0.064,-0.045
0.348,0.027,-0.438
0.072,-0.012,0.017
0.053,-0.009,0.154
0.089,0.001,0.120
0.100,0.001,-0.573
-0.135,-0.038,-0.839
-0.379,-0.075,-0.992
-0.593,-0.104,-1.308
-0.839,-0.136,-0.271
-0.639,-0.095,-0.110
-0.449,-0.062,0.279
-0.192,-0.025,-0.141
-0.170,-0.027,-0.237
-0.191,-0.035,-0.185
-0.185,-0.032,0.602
0.092,0.014,0.946
0.393,0.061,1.108
0.646,0.095,1.401
0.909,0.130,0.331
0.707,0.087,0.192
0.525,0.054,-0.263
0.249,0.013,0.193
0.229,0.016,0.263
0.241,0.022,0.153
0.210,0.015,-0.630
-0.083,-0.033,-0.937
-0.382,-0.078,-1.106
-0.635,-0.112,-1.407
-0.900,-0.146,-0.340
-0.702,-0.104,-0.142
-0.501,-0.069,0.278
-0.225,-0.029,-0.147
-0.194,-0.030,-0.208
-0.196,-0.034,-0.130
-0.169,-0.029,0.642
0.117,0.019,0.963
0.415,0.064,1.092
0.654,0.096,1.372
0.905,0.129,0.281
0.686,0.083,0.111
0.483,0.047,-0.336
0.196,0.005,0.119
0.168,0.007,0.214
0.184,0.014,0.131
0.166,0.010,-0.638
-0.114,-0.036,-0.934
-0.399,-0.080,-1.090
-0.641,-0.112,-1.361
-0.889,-0.144,-0.302
-0.681,-0.101,-0.146
-0.489,-0.068,0.257
-0.224,-0.029,-0.167
-0.201,-0.031,-0.229
-0.207,-0.036,-0.148
-0.183,-0.031,0.606
0.095,0.015,0.916
0.384,0.059,1.055
0.622,0.091,1.345
0.874,0.124,0.275
0.665,0.080,0.113
0.470,0.046,-0.323
0.192,0.005,0.135
0.171,0.008,0.207
0.185,0.014,0.124
0.163,0.009,-0.639
-0.117,-0.037,-0.917
-0.396,-0.079,-1.064
-0.630,-0.110,-1.329
-0.869,-0.140,-0.244
-0.648,-0.096,-0.114
-0.456,-0.063,0.250
-0.206,-0.027,-0.165
-0.188,-0.029,-0.214
-0.194,-0.034,-0.155
-0.177,-0.031,0.563
0.084,0.013,0.841
0.352,0.054,1.000
0.581,0.084,1.258
0.817,0.115,0.176
0.594,0.069,0.030
0.395,0.034,-0.400
0.117,-0.006,0.091
0.108,-0.001,0.207
0.144,0.009,0.130
0.139,0.007,-0.630
-0.129,-0.038,-0.908
-0.400,-0.080,-1.084
-0.639,-0.111,-1.344
-0.881,-0.143,-0.293
-0.673,-0.100,-0.174
-0.494,-0.068,0.240
-0.234,-0.031,-0.189
-0.214,-0.033,-0.236
-0.219,-0.039,-0.184
-0.204,-0.034,0.613
0.084,0.013,0.916
0.378,0.059,1.070
0.623,0.092,1.344
0.875,0.124,0.277
0.666,0.080,0.104
0.467,0.045,-0.358
0.178,0.002,0.074
0.141,0.003,0.180
0.155,0.010,0.121
0.143,0.007,-0.626
-0.125,-0.038,-0.900
-0.396,-0.079,-1.074
-0.633,-0.111,-1.338
-0.876,-0.142,-0.244
-0.653,-0.096,-0.080
-0.447,-0.061,0.302
-0.182,-0.023,-0.144
-0.165,-0.026,-0.203
-0.176,-0.032,-0.144
-0.161,-0.028,0.643
0.122,0.019,0.958
0.417,0.064,1.113
0.662,0.097,1.356
0.904,0.129,0.265
0.680,0.082,0.103
0.476,0.046,-0.305
0.202,0.007,0.163
0.187,0.010,0.239
0.206,0.018,0.182
0.197,0.014,-0.617
-0.087,-0.033,-0.923
-0.379,-0.077,-1.094
-0.629,-0.111,-1.380
-0.887,-0.144,-0.312
-0.684,-0.102,-0.182
-0.503,-0.070,0.234
-0.242,-0.032,-0.195
-0.222,-0.034,-0.225
