28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.438,-0.057,-1.605
-0.846,-0.107,-1.392
-1.028,-0.113,0.144
-0.612,-0.087,0.189
-0.324,-0.012,0.757
0.054,0.025,-0.461
-0.121,-0.008,-0.802
-0.360,-0.033,-0.810
-0.514,-0.051,0.453
-0.168,-0.003,1.302
0.351,0.055,1.587
0.774,0.102,1.421
0.992,0.123,-0.052
0.619,0.058,-0.468
0.229,0.007,-0.584
-0.058,-0.021,0.129
0.008,-0.002,0.900
0.319,0.012,0.563
0.403,0.037,-0.379
0.123,0.012,-0.772
-0.195,-0.039,-1.544
-0.668,-0.085,-1.249
-0.868,-0.123,-0.357
-0.681,-0.063,0.510
-0.253,-0.002,0.828
0.128,0.027,-0.323
-0.033,0.004,-0.730
-0.283,-0.059,-1.420
-0.679,-0.065,0.430
-0.280,-0.008,1.285
0.274,0.047,1.635
0.750,0.099,1.447
0.985,0.111,0.010
0.633,0.062,-0.276
0.302,-0.017,-1.052
-0.177,-0.030,0.424
0.038,0.004,0.907
0.344,0.036,0.950
0.550,0.054,-0.407
0.202,-0.020,-1.636
-0.450,-0.066,-1.690
-0.882,-0.098,-1.288
-1.015,-0.112,-0.012
-0.652,-0.059,0.605
-0.205,-0.005,0.624
0.086,0.021,-0.284
-0.050,0.006,-0.939
-0.356,-0.044,-0.957
-0.562,-0.053,0.609
-0.146,-0.003,1.125
0.303,0.050,1.621
0.759,0.069,1.016
0.839,0.098,-0.068
0.509,0.054,-0.716
0.080,-0.014,-0.776
-0.220,-0.028,0.701
0.104,0.003,0.886
0.377,0.044,1.164
0.644,0.034,-0.665
0.175,0.011,-0.936
-0.217,-0.027,-1.145
-0.543,-0.071,-1.277
-0.794,-0.085,0.318
-0.395,-0.036,0.483
-0.081,0.012,0.823
0.232,0.010,-0.679
-0.092,-0.000,-0.725
-0.315,-0.026,-0.937
-0.526,-0.054,0.355
-0.209,-0.008,1.181
0.282,0.047,1.343
0.651,0.093,1.492
0.938,0.117,0.083
0.631,0.061,-0.403
0.261,0.013,-0.616
